Thongmyxay,ທົ່ງມີໄຊ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,6ee95e71-aee5-4302-beba-169380f2df72
Xaisathan,ໄຊສະຖານ,137e84fc-5ac3-44aa-b6f0-4fd029e2c55f,e1211a2c-f196-4bb6-adf4-ecd5208156ce
Pek,ແປກ,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,e05af0e4-bc37-4d4c-879a-4e8996846512
Kham,ຄຳ,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,aa8ae0ad-5646-44d9-aa49-bea1546b619f
Nong Het,ໜອງແຮດ,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,718ab7d2-f97d-4c01-8fa8-e3ec9f5eed02
Khoune,ຄູນ,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,678cbc51-06d1-4635-9603-bcc529ab170d
Mok May,ໝອກໃໝ່,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,922472e6-8be7-4e7a-8646-ea37f6a6e9c5
Phou Kout,ພູກູດ,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,10331f2d-cfdd-4c31-ba73-6252d1f5157a
Phaxay,ຜາໄຊ,5ee6adde-feae-4e9d-98a3-bfae3a3d3de8,33caa9d9-c3a9-4f61-b69f-df038349c862
Phonhong,ໂພນໂຮງ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,e8f29b67-1ba8-4fbb-a396-ca8841bb8408
Thoulakhom,ທຸລະຄົມ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,5ba3e4a7-8f38-4531-badd-cf2c1ddedb83
Keo Oudom,ແກ້ວອຸດົມ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,ed7b8884-f102-4ee0-9b49-54f163ccc0a2
Kasy,ກາສີ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,064b2147-c407-4979-8681-353eb1876fd7
Vangvieng,ວັງວຽງ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,9ebab958-64ea-4690-8000-44bb0931c9d3
Feuang,ເຟືອງ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,fb89b7ca-a495-4652-9012-03220d86ec34
Xanakharm,ຊະນະຄາມ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,73845d79-cd5d-47bc-8fd2-f1d2d11ac1eb
Mad,ແມດ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,66ce4850-432b-40e0-85a3-52f3f59098b5
Viengkham,ວຽງຄໍາ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,64c4d519-f70a-4f12-9374-e9e562fe074f
Hinhurp,ຫີນເຫີບ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,2698b0db-82f1-4280-ab45-d13f82558d71
Meun,ໝື່ນ,4b5a9bb7-3ff8-4e0b-8434-c36873165581,05e6cb0d-f270-4e35-9044-83b557fc1401
Pakxan,ປາກຊັນ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,43c7d46e-1191-4d77-9f0a-44546d74ace2
Thaphabat,ທ່າພະບາດ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,207bdee2-3e27-435b-a44f-5da0a41ad989
Pakkading,ປາກກະດິງ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,b0aed100-7f58-40ef-8cce-5c3a4264ac52
Borikhane,ບໍລິຄັນ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,6c4a63af-2e77-4ddb-b47e-ae6f8feda1e8
Khamkeut,ຄຳເກີດ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,8d109d75-7e1c-4f09-96d0-3a6fe1391126
Viengthong,ວຽງທອງ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,9a8649dd-0fe0-45c7-a579-aa488c768e21
Xaichamphon,ໄຊຈຳພອນ,ea1bd5e8-4c8b-4661-97da-efd4671bdcbb,e06bc6d2-37bf-42d6-8796-9b59d198aa07
Thakhek,ທ່າແຂກ,f59e8ac5-0acd-4684-8df2-dac33181977e,34abfebe-5015-4148-87a4-7c441cec23b7
Mahaxay,ມະຫາໄຊ,f59e8ac5-0acd-4684-8df2-dac33181977e,5c946c4e-9498-4806-9f79-b87188c557ad
Nong Bok,ໜອງບົກ,f59e8ac5-0acd-4684-8df2-dac33181977e,64551ac7-5a51-469c-9223-f905925db959
Hineboune,ຫີນບູນ,f59e8ac5-0acd-4684-8df2-dac33181977e,582fdeb4-73da-45a3-abad-56f32fdd046c
Yommalath,ຍົມມະລາດ,f59e8ac5-0acd-4684-8df2-dac33181977e,3a96a20a-82c5-40c9-9de8-9b1e10f04ace
Boualapha,ບົວລະພາ,f59e8ac5-0acd-4684-8df2-dac33181977e,2a9fd1d3-92ab-452d-837f-95a67fc8cbd4
Nakai,ນາກາຍ,f59e8ac5-0acd-4684-8df2-dac33181977e,7af9acbe-2545-4e1a-8706-6bc4c28b8a41
Sebangphay,ເຊບັ້ງໄຟ,f59e8ac5-0acd-4684-8df2-dac33181977e,c851f0c9-3eb7-495e-a73f-a6480297baf7
Xaibouathong,ໄຊບົວທອງ,f59e8ac5-0acd-4684-8df2-dac33181977e,056ad29a-be4b-4a8b-b871-a1412276e2ef
Kounkham,ຄູນຄຳ,f59e8ac5-0acd-4684-8df2-dac33181977e,7fdbc9c6-4667-4d49-9451-0622ceb16805
Kaysone Phomvihane,ໄກສອນ ພົມວິຫານ,03d2feb6-43f5-4ec0-a194-5a11de665c02,b0371305-a321-4117-b555-f2330ff87621
Outhoumphone,ອຸທຸມພອນ,03d2feb6-43f5-4ec0-a194-5a11de665c02,aeef1b51-b1c2-4ec4-b38f-cf2a208a1c6a
Atsaphangthong,ອາດສະພັງທອງ,03d2feb6-43f5-4ec0-a194-5a11de665c02,9d4067d3-2e47-445d-8be8-70daeb7ca690
Phine,ພີນ,03d2feb6-43f5-4ec0-a194-5a11de665c02,0f381830-f1c0-4644-a89d-b7a2ba906e5f
Seponh,ເຊໂປນ,03d2feb6-43f5-4ec0-a194-5a11de665c02,6603dab1-c2e2-44b9-ae01-1f182bc64d50
Nong,ນອງ,03d2feb6-43f5-4ec0-a194-5a11de665c02,d8471eec-98c2-4799-a6bb-eb6dec56390f
Thapangthong,ທ່າປາງທອງ,03d2feb6-43f5-4ec0-a194-5a11de665c02,575531ed-e63d-4970-a234-3cfa294384c8
Songkhone,ສອງຄອນ,03d2feb6-43f5-4ec0-a194-5a11de665c02,f4f26dec-abfa-4ec6-96e6-0422eae372c9
Champhone,ຈຳພອນ,03d2feb6-43f5-4ec0-a194-5a11de665c02,1c5c3ebe-7da8-45af-9f40-3b26913e0f15
Xonaboury,ຊົນນະບູລີ,03d2feb6-43f5-4ec0-a194-5a11de665c02,751d7694-93fa-4dc3-a1a8-1bd494cddd37
Xayboury,ໄຊບູລີ,03d2feb6-43f5-4ec0-a194-5a11de665c02,4e5ff2db-771a-4a61-87d5-f48a9fa636fd
Viraboury,ວີລະບຸລີ,03d2feb6-43f5-4ec0-a194-5a11de665c02,78f6499c-3fdb-4dbd-b1e6-fcbcca762b5d
